الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
كورلوف كوير ميثيك أو دو برفيوم,1116,كورلوف,رجالي/نسائي,عطور,كلاسيكية,جلدية,100 مل,2018,أو دو برفيوم,الماندرين، الصنوبر، العرعر,الزنجبيل، الجلابانوم، السوسن,الجلود,,,,,,,,,
كالفين كلاين ايفوريا ومن,298,كالفن كلاين,نسائي,عطور,حيوية,فاكهية,50 مل,2005,أو دو برفيوم,رمان,لوتس بلوسوم ، بلاك أوركيد,عنبر ، خشب,عطور,رمان ، لوتس بلوسوم ، بلاك أوركيد ، عنبر ، خشب,,,,,,,
قراس للعطور عود ذا بالاس أو دو برفيوم - 30 مل,159,قراس للعطور,رجالي/نسائي,عطور,كلاسيكية,جلدية,30 مل,,أو دو برفيوم,زيت الورد، الورد البلغاري,القرفة,الجلود، أخشاب الصندل,,,,,,,,,
ماركو سيروسي هارموني,333,ماركو سيروسي,رجالي,عطور,جذابة,شرقية خشبية,100 مل,,أو دو تواليت,فلفل الأسود، هيل، كمون.,جوزة الطيب، زهر البرتقال، شمام,باتشولي، نجيل الهند.,,الفلفل الأسود، هيل، كمون، جوزة الطيب، زهر البرتقال، شمام، باتشولي، نجيل الهند,,,,,,,
لورينزو فيلوريسي أومو,629,لورينزو فيلوريسي فيرنزي,رجالي,عطور,حيوية,أروماتيك,100 مل,1993,أو دو تواليت,أوراق الغار، البتيتغرين، البرغموت، الليمون الأمالفي، البرتقال، الكزبرة، اللافندر، إيليمي,العرعر، المريمية، زهر البرتقال، القرنفل، الفلفل، الزعتر,خشب الصندل، الباتشولي، المسك، نجيل الهند، طحلب السنديان، خشب الورد البرازيلي، خشب الأرز، إكليل الجبل.,,أوراق الغار، البتيتغرين، البرغموت، الليمون الأمالفي، البرتقال، الكزبرة، اللافندر، إيليمي، العرعر، المريمية، زهر البرتقال، القرنفل، الفلفل، الزعتر، خشب الصندل، الباتشولي، المسك، نجيل الهند، طحلب السنديان، خشب الورد البرازيلي، خشب الأرز، إكليل الجبل.,"أزرق,فضي",,,,,,
توري بورش توري بورش,553,توري برش,رجالي,عطور,رومانسية,زهرية,100 مل,,أو دو برفيوم,"Bergamot, Mandarin, and Lemon","Neroli, Pink Peppercorn, and Peony","Patchouli Heart, Vetiver Heart, and Cedar wood Oil'",,البرغموت، اليوسفي، الليمون، زهر البرتقال، الفلفل الوردي، الفاوانيا، قلب الباتشولي، زيت خشب الأرز.,"ذهبي,وردي",,,,,,
إيبوك جينار أو دو برفيوم,185,إيبوك,رجالي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,الليمون، الزنجبيل، الجريب فروت,الأناناس الحلو، الهيل، القرفة,نجيل الهند، اللابدانوم، طحلب البلوط,,,,,,,,,
خلطات سلانج,575,خلطات,رجالي/نسائي,عطور,متألقة,شرقية,65 مل,,أو دو برفيوم,الورد,العود,الباتشولي,,الورد، الباتشولي، العود,,,,,,,
آتيلير كولون كليمنتين كاليفورنيا أو دو كولون,890,آتيلير كولون,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,2016,أو دو كولون,توت العرعر، الماندرين، كلمنتين,الفلفل، اليانسون النجمي، الريحان,أخشاب الصندل، نجيل الهند، السرو,,,,,,,,,
جيرلان باتشولي باريس أو دو برفيوم,2046,جيرلان,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2024,أو دو برفيوم,الألدهيدات,السوسن,الفانيليا، العنبر، الباتشولي,,,,,,,,,
بولغري امنيا جولدن سيترين أو دو تواليت,492,بولغاري,نسائي,عطور,حسية,زهرية,65 مل,2020,أو دو تواليت,الماندرين الصقلي، الخوخ الأبيض,الياسمين، الإيلنغ,الأرز، البنزوين,,,,,,,,,
كريد أبسولو أفينتوس أو دو برفيوم - 75 مل,1987,كريد,رجالي,عطور,ديناميكية,حمضية,75 مل,2023,أو دو برفيوم,الكشمش الأسود، البرجموت، الجريب فروت,الهيل، سيترون، القرفة، الزنجبيل,نجيل الهند، الباتشولي، الفلفل الوردي,,,,,,,,,
اورا فرانس برنسس أو دو برفيوم,250,اورا فرانس,نسائي,عطور,,,100 مل,,أو دو برفيوم,,,,,,,,,,,,
بوديسيا ذا فيكتوريوس فورتيتيد أو دو برفيوم,1650,بوديسيا,نسائي,عطور,حسية,زهرية,100 مل,2018,أو دو برفيوم,الكشمش الأسود، البرجموت، الزنبق,الإيلنغ، الياسمين، الجاردينيا,الأخشاب,,,,,,,,,
جورو  إيجو أو دو برفيوم,579,جورو,رجالي/نسائي,عطور,حيوية,فاكهية,100 مل,2017,أو دو برفيوم,نفحات الفواكه,يلانج يلانج، الياسمين,العنبر، المسك، الباتشولي.,,,,,,,,,
