Fragrance Family,name,savings,current_price,Gender,delivery,Character,average_rating,Concentration,Brand,original_price,image_url,description,Product Type,size,total_reviews,Size,Ingredients,special_price,combined_size
Oriental,Deraah Oud Musk & Tofi EDP,You Save 186 SAR,186 SAR 372 SAR,Unisex,Expected Delivery 1 - 3 Days,Charismatic,4.8,Eau de Parfum,Deraah,372 SAR,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123044612-deraah-oud-musk-_-tofi.png,"A symphony of majestic oriental beauty to raise your status amid your luxurious councils and put your mark on the hearts of those present.
A luxurious blend of amber and rich caramel-flavored candy offers a clear interpretation of the essence of your beauty that captivates the soul in its elegance.
Pure musk clashes with vanilla to envelop the scent in a sensual and attractive touch that suits your romantic occasions and adds a sense of joy to your day.
It is your ideal choice for an appearance that will be admired by all those present and remains sophisticated and renewed by the scent of sandalwood until the last moment.
About the brand:Deraah is a name that surpasses imagination in the world of beauty, perfumes, and men's and women's accessories such as watches, jewelry, and luxury pens. The company has more than 47 years of experience and professionalism, which makes it one of the largest national companies in the Kingdom of Saudi Arabia. Deraah has more than 850 commercial outlets in 162 cities throughout the Kingdom.",Perfume,100 ml,81 Ratings,100 ml,,,100 ml
Floral,Deraah Private 555 EDP,You Save 211 SAR,211 SAR 422 SAR,Women,Expected Delivery 1 - 4 Days,Sensual,5.0,Eau de Parfum,Deraah,422 SAR,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123092408-deraah-deraah-private-555-150-ml.png,"Oriental charm inspired by the timeless nature with its breathtaking fragrance.
Embark on an exciting adventure among the vibrant green of fresh basil leaves.
The citrus scent hangs over the air and makes you feel the distinctive spring atmosphere of the eastern lands.
A sparkling combination that gives you absolute vitality and offers you a calm formal look with a bright everyday look.
About the brand:Private is one of 20 other brands owned by Deraah and its products are sold in 37 countries around the world. Link offers a range of fragrance innovations made with unrivaled precision and expertise in collaboration with the world's finest houses of expertise, especially French houses with a clear footprint in the fragrance world.",Perfume,200 ml,98 Ratings,200 ml,,,200 ml
Oriental,Proud Suave EDP,You Save 134 SAR,134 SAR 268 SAR,Men,Expected Delivery 1 - 3 Days,Charismatic,4.9,Eau de Parfum,Deraah,268 SAR,https://assets.goldenscent.com/catalog/product/6/2/6281123058725-proud-swif.png,"A bright duo of amber and lily of the valley appears in a unique aromatic harmony.
A fragrance ignited with details of elegance and allure, giving you a bold and radiant look.
Get ready for moments of victory and triumph with a look that steals the spotlight and leaves your mark in the place.
About the brand:Proud is one of 20 other brands owned by Deraah and its products are sold in 37 countries around the world. Link offers a range of fragrance innovations made with unrivaled precision and expertise in collaboration with the world's finest houses of expertise, especially French houses with a clear footprint in the fragrance world.",Perfume,100 ml,92 Ratings,100 ml,"Lily Of The Valley, Amber",,100 ml
Woody,Cage Cage Women EDT,You Save 79 SAR,119 SAR 198 SAR,Women,Expected Delivery 1 - 3 Days,,5.0,Eau de Toilette,Deraah,198 SAR,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123003879-cage-women.png,"Inspired by the majestic magic of the East, and expresses your noble identity.
For the strong Arab woman with a modern spirit and an ambitious soul.
A fragrance that exudes a bright blend of amber and musk with a breathtaking floral cover.
Oriental notes emerge from the base of the fragrance and remain sophisticated and airy until the end.
About the brand:Cage is one of 20 other brands owned by Deraah and its products are sold in 37 countries around the world. Link offers a range of fragrance innovations made with unrivaled precision and expertise in collaboration with the world's finest houses of expertise, especially French houses with a clear footprint in the fragrance world.",Perfume,150 ml,2 Ratings,150 ml,,,150 ml
Citrus,Link Pedestal EDP,You Save 145 SAR,145 SAR 290 SAR,Men,Expected Delivery 1 - 3 Days,Dynamic,4.7,Eau de Parfum,Deraah,290 SAR,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123042625-link-pedestal.png,"It creates a dazzling presence for you, like the appearance of a star on the red carpet.
Refreshing citrusy beginnings instill hope and optimism in yourself and push you to achieve your dream.
A multi-faceted fragrance that shows its woody character with cedarwood to have a creamy signature.
The combination of vetiver and patchouli creates its classic touch to accompany you in your formal gatherings.
About the brand:Link is one of 20 other brands owned by Deraah and its products are sold in 37 countries around the world. Link offers a range of fragrance innovations made with unrivaled precision and expertise in collaboration with the world's finest houses of expertise, especially French houses with a clear footprint in the fragrance world.",Perfume,100 ml,19 Ratings,100 ml,,,100 ml
Woody,Deraah Private Le Santal EDP,You Save 192 SAR,288 SAR 480 SAR,Unisex,Expected Delivery 1 - 3 Days,Natural,,Eau de Parfum,Deraah,480 SAR,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123132838_-_deraah_-_private_le_santal_edp_-_100ml_-_fd.png,"A new interpretation of the concept of sandalwood perfume, revealing to you more of the secrets of its unique beauty. An attractive, creamy sandalwood pulse occupies the center of the perfume, whipped with layers of rice, making you melt in love with the magic of the scent. Saffron threads with a vanilla feel envelop all layers of the perfume and keep the bonds cohesive and balanced. A perfume that sings of your unique beauty and leaves you with a lasting impression in the place even after you leave.
About the brand:Deraah is a name that surpasses imagination in the world of beauty, perfumes, and men's and women's accessories such as watches, jewelry, and luxury pens. The company has more than 47 years of experience and professionalism, which makes it one of the largest national companies in the Kingdom of Saudi Arabia. Deraah has more than 850 commercial outlets in 162 cities throughout the Kingdom.",Perfume,100 ml,0 Ratings,100 ml,,,100 ml
Woody,Jaddid Lamber EDP,You Save 176 SAR,176 SAR 352 SAR,Men,Expected Delivery 1 - 3 Days,Natural,5.0,Eau de Parfum,Deraah,352 SAR,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123038451-jaded-lamber.png,"All men's fragrances are ahead and occupy the first place in the classic luxury style.
A fragrance that combines the majesty of elders and princes with a modern youthful touch that brings you boundless elegance.
The combination of lavender and grapefruit imbues the fragrance with a refreshing aromatic character and reflects it on your soul.
The fragrant oud is the secret behind the luxurious scent. It appears spiced with the warmth of cinnamon and saffron to highlight the oriental side of the scent.
About the brand:Jaded is one of 20 other brands owned by Deraah and its products are sold in 37 countries around the world. Link offers a range of fragrance innovations made with unrivaled precision and expertise in collaboration with the world's finest houses of expertise, especially French houses with a clear footprint in the fragrance world.",Perfume,85 ml,2 Ratings,85 ml,,,85 ml
Leather,Deraah Oud Probiere 3 EDP,,,Unisex,Expected Delivery 1 - 3 Days,Classical,,Eau de Parfum,Deraah,,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123122303-deraah-oud-probiere-3.png,"A unique, sparkling, and classic charm that makes you the owner of an immortal mark in the councils.
Sharp notes of leather extract waft with sparkling drops of amber to increase the splendor of your look.
A earthy touch of patchouli mixed with the heat of spices evokes memories of the old age.
Every moment in your day is a happy memory that the strong and intense pulses of the perfume etch in your heart forever.About the brand:Deraah is a name that surpasses imagination in the world of beauty, perfumes, and men's and women's accessories such as watches, jewelry, and luxury pens. The company has more than 47 years of experience and professionalism, which makes it one of the largest national companies in the Kingdom of Saudi Arabia. Deraah has more than 850 commercial outlets in 162 cities throughout the Kingdom.",Perfume,100 ml,0 Ratings,100 ml,"Spices, Patchouli, Amber, Leather, Musk",440 SAR,100 ml
Woody,Ring Pure Silver EDP,You Save 114 SAR,170 SAR 284 SAR,Men,Expected Delivery 1 - 3 Days,Natural,,Eau de Parfum,Deraah,284 SAR,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123058824-ring-pure-silver.png,"For the irresistible soul, it resists even the dream of gravity and exclusivity with elegance.
 A luxurious fragrance that smells of earthy notes, such as patchouli and vetiver. 
 It overshadows your appearance and attracts the spotlight towards you, to keep you in a high position among the audience. 
 The starting point comes with a jolt of pineapple and mandarin penetrating your breath with a sense of freshness and vitality. 
About the brand:Ring is one of 20 other brands owned by Deraah and its products are sold in 37 countries around the world. Link offers a range of fragrance innovations made with unrivaled precision and expertise in collaboration with the world's finest houses of expertise, especially French houses with a clear footprint in the fragrance world.",Perfume,100 ml,0 Ratings,100 ml,,,100 ml
Woody Oriental,Deraah Oud Probiere 1 EDP,,,Unisex,Expected Delivery 1 - 3 Days,Sophisticated,,Eau de Parfum,Deraah,,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281123122280-deraah-oud-probiere-1.png,"A perfume that symbolizes strength and expresses the majestic Eastern luxury.
Sandalwood blends with the heat of cardamom in a stunning harmony that reflects the inner balance of your personality.
A perfume for princes and men of aristocratic societies, comes to you wrapped in the warmth of sensual tonka beans.

Enjoy a striking and captivating presence with a sense of uniqueness that lasts long.About the brand:Deraah is a name that surpasses imagination in the world of beauty, perfumes, and men's and women's accessories such as watches, jewelry, and luxury pens. The company has more than 47 years of experience and professionalism, which makes it one of the largest national companies in the Kingdom of Saudi Arabia. Deraah has more than 850 commercial outlets in 162 cities throughout the Kingdom.",Perfume,100 ml,0 Ratings,100 ml,"Cardamom, Tonka Bean, Sandalwood, Cedar",440 SAR,100 ml
