الاسم,rating,total_ratings,img,السعر النهائي,Brand,Gender,Character,Fragrance Family,Size,Year of Launch,Concentration,Top Notes,Middle Notes,Base Notes,Ingredients,Cluster
Korloff Cuir Mythique EDP,0.0,0,//assets.goldenscent.com/catalog/product/3/7/3760251870322_-_korloff_-_korloff_cuir_mythique_edp_100_ml_-_100_ml_-_fd.png,1116.0,Korloff,Unisex,Classical,Leather,100,2018,Eau de Parfum,"Mandarin, Pine, Juniper","Ginger, Galbanum, Iris",Leather,Unknown,1
Calvin Klein Euphoria Women,4.8,500,//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/c/a/calvin_klein_euphoria_eau_de_parfum_1.jpg,298.0,Calvin Klein,Women,Extravagant,Fruity,50,2005,Eau de Parfum,Pomegranate,"Lotus Blossom, Black Orchid","Amber, Wood","Pomegranate, Lotus Blossom, Black Orchid, Amber, Wood",1
Grasse Perfumes Oud The Palace EDP - 30 ml,4.0,1,//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/9/4/94616-grasse-perfume-oud-the-palace-30-ml.png,159.0,Grasse Perfumes,Unisex,Classical,Leather,30,Unknown,Eau de Parfum,"Rose Oil, Bulgarian Rose",Cinnamon,"Leather, Sandalwood",Unknown,1
Marco Serussi Harmony,0.0,0,//assets.goldenscent.com/catalog/product/3/7/3760168632174_marco_serussi_harmoni_edt_100_ml_1.jpg,333.0,Marco Serussi,Men,Charismatic,Woody Oriental,100,Unknown,Eau de Toilette,Black Pepper- Cardamom- Cumin,Nutmeg- Neroli- Melon.,Patchouli- Vetiver.,"Black Pepper, Cardamom, Cumin, Nutmeg, Neroli, Melon, Patchouli, Vetiver",2
Lorenzo Villoresi Uomo,5.0,2,//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_lorenzo_villoresi_perfumes_uomo_for_unisex_eau_de_toilette_8028544100934.jpg,629.0,Lorenzo Villoresi Firenze,Men,Extravagant,Aromatic,100,1993,Eau de Toilette,"Bergamot, Petitgrain, Laurel, Lemon, Orange, Coriander, Lavender, Elemi resin","Neroli, Sage, Juniper, Clove, Pepper, Thyme","Oakmoss, Musk, Patchouli, Rosemary, Sandalwood, Vetiver, Cedarwood","Bergamot, Petitgrain, Laurel, Lemon, Orange, Coriander, Lavender, Elemi resin, Neroli, Sage, Juniper, Clove, Pepper, Thyme, Oakmoss, Musk, Patchouli, Rosemary, Sandalwood, Vetiver, Cedarwood",2
Tory Burch Tory Burch,4.7,3,//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_tory_burch_perfumes_eau_de_parfum_for_women_eau_de_perfum_22548295700.jpg,553.0,Tory Burch,Men,Romantic,Floral,100,Unknown,Eau de Parfum,"Bergamot, Mandarin, and Lemon","Neroli, Pink Peppercorn, and Peony","Patchouli Heart, Vetiver Heart, and Cedar wood Oil'","Neroli,Grapefruit,Cassis,Bergamot,Peony,Tuberose,Jasmine Sambac,Vetiver, Sandalwood.",4
Epock Genar EDP,0.0,0,//assets.goldenscent.com/catalog/product/6/2/6281000756102_-_epock_-_epock_genar_for_men_eau_de_parfum_50ml_-_50_ml_-_fd_1_.png,185.0,Epock,Men,Charismatic,Oriental,50,Unknown,Eau de Parfum,"Lemon, Ginger, Grapefruit","Sweet Pineapple, Cardamom, Cinnamon","Vetiver, Labdanum, Oakmoss",Unknown,1
Khaltat Salang,0.0,0,//assets.goldenscent.com/catalog/product/6/2/6291103883001-khaltat-blends-of-love-salang-edp-65-ml-1.jpg,575.0,Khaltat,Unisex,Glamorous,Oriental,65,Unknown,Eau de Parfum,The roses,The oud,Patchouli,"Rose, Patchouli, Oud",0
Atelier Cologne Clementine California EDC,0.0,0,//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3700591230035_-_atelier_cologne_-_atelier_cologne_clementine_california_cologne_absolue_pure_perfume_unisex_eau_de_cologne_100ml_-_100_ml_-_fd.png,890.0,Atelier Cologne,Unisex,Dynamic,Citrus,100,2016,Eau de Cologne,"Juniper Berry, Mandarin, Clementine","Pepper, Star Anise, Basil","Sandalwood, Vetiver, Cypress",Unknown,1
Guerlain Patchouli Paris EDP,0.0,0,//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3346470148819_-_guerlain_-_guerlain_patchouli_paris_eau_de_parfum_100ml_-_100_ml_-_fd.png,2046.0,Guerlain,Unisex,Natural,Woody,100,2024,Eau de Parfum,Aldehydes,Iris,"Vanilla, Amber, Patchouli",Unknown,0
Bvlgari Omnia Golden Citrine EDT,0.0,0,//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/7/8/783320410888-bvlgari-bvlgari-omnia-golden-citrine-_w_-edt-65-ml.png,492.0,Bvlgari,Women,Sensual,Floral,65,2020,Eau de Toilette,"Sicilian mandarin, white peach","jasmine, ylang-ylang","Cedar, Benzoin",Unknown,3
Creed Absolu Aventus EDP - 75 ml,0.0,0,//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/5/3508440251749-creed-creed-absolu-aventus-for-men-eau-de_parfum_75ml.png,1987.0,Creed,Men,Dynamic,Citrus,75,2023,Eau de Parfum,"Black Currant, Bergamot, Grapefruit","Cardamom, Citron, Cinnamon, Ginger","Vetiver, Patchouli, Pink Pepper",Unknown,1
Boadicea The Victorious Fortitude EDP,0.0,0,//assets.goldenscent.com/catalog/product/5/0/5060475232516_-_boadicea_-boadicea_the_victorious_fortitude_women_s_eau_de_parfum_100ml-fd.png,1650.0,Boadicea,Women,Sensual,Floral,100,2018,Eau de Parfum,"Black Currant, Bergamot, Lily","Ylang-ylang, Jasmine, Gardenia",Woods,Unknown,4
Guru Egos EDP,0.0,0,//assets.goldenscent.com/catalog/product/3/7/3700796900665-guru-guru-egos-_u_-edp-100-ml_1_.png,579.0,Guru,Unisex,Extravagant,Fruity,100,2017,Eau de Parfum,Fruity Notes,"Ylang-ylang, Jasmine","Amber, Musk, Patchouli.",Unknown,1
Athal Forbidden EDP,0.0,0,//assets.goldenscent.com/catalog/product/6/2/6287041961253_-_athal_-_athal_forbidden_eau_de_parfum_women_-_100_ml_-_100_ml_-_fd.png,170.0,Athal,Women,Charismatic,Oriental,100,Unknown,Eau de Parfum,Unknown,Unknown,Unknown,Unknown,1
La Défense Perfume No.4 EDP,0.0,0,//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285897009624_-_la_d_fense_perfume_-_no.4_-_50_ml_-_fd.png,230.0,La Défense Perfume,Unisex,Glamorous,Oud,50,Unknown,Eau de Parfum,Oud,Amber,"Sandalwood, Musk",Unknown,0
Saint Hilaire Private Red EDP,0.0,0,//assets.goldenscent.com/catalog/product/3/7/3760004322443-saint-hilaire-saint-hilaire-private-red-pour-homme-_m_-edp-100-ml.png,138.0,Saint Hilaire,Men,Extravagant,Fruity,100,2018,Eau de Parfum,Lemon,Green Apple and Sea Scents,"Amber, Vetiver, Tonka Bean","Lemon, Green Apple, Sea Notes, Amber, Vetiver, Tonka Bean.",1
Caron L'Heure Vagabonde EDC,0.0,0,//assets.goldenscent.com/catalog/product/3/3/3384957210308-caron-l_heure-vagabonde-edc-v30ml.png,1050.0,Caron,Unisex,Dynamic,Citrus,100,2022,Eau de Cologne,"Ginger, Bergamot, Green Lemon",Tobacco,"Leather, Honey, Vetiver, Guaiac Wood, Patchouli",Unknown,1
Marly Carlisle,5.0,27,//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3700578519009-parfums-de-marly-marly-carlisle---125-ml.png,1662.0,Parfums de Marly,Unisex,Natural,Woody,125,2015,Eau de Parfum,"Bergamot, tangerine","Violet, jasmine","Guaiac wood, patchouli, cardamom","Bergamot, mandarin, violet, jasmine, guaiac wood, patchouli, cardamom",0
Salvatore Ferragamo Uomo Casual Life,5.0,3,//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_salvatore_ferragamo_uomo_casual_life_eau_de_toilette_for_men_100_ml_1.png,384.0,Salvatore Ferragamo,Men,Charismatic,Aromatic,50,2017,Eau de Toilette,"Violet Leaves, Lemon, Cardamom","Coffee, Geranium, Ambrox","Cashmere Wood, White Cedarwood, White Musk","Violet Leaves, Lemon, Cardanom, Coffee, Geranium, Ambrox, Cashmere Wood, White Cedarwood, White Musk",2
Jad Khaoukh Peach Rivers of China EDP,0.0,0,//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281184005935-jad-jad-khaoukh-peach-rivers-of-china-edp.png,249.0,Jad,Unisex,Extravagant,Fruity,100,Unknown,Eau de Parfum,Unknown,Unknown,Unknown,Peach,1
Alfred Verne Emerald Isle,5.0,3,//assets.goldenscent.com/catalog/product/6/2/6291100603152-alfred_verne-alfred_verne_emerald_isle_u_edp_80_ml-1.jpg,192.0,Alfred Verne,Unisex,Glamorous,Woody Oriental,80,-,Eau de Parfum,"Pink Pepper, Cardamom, Saffron And Nutmeg",Geranium And Myrrh,"oud, patchouli, leather, styrax and incense.","Pink Pepper, Cardamom, Saffron, Nutmeg, Geranium, Myrrh, oud, patchouli, leather, styrax and incense.",0
