الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,المكونات,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,اللون,سنة الإصدار,Category,نوع المكياج,مفتاح البحث
إيف سان لوران ليبر إنتنس,494,اف سان لوران,نسائي,عطور,حيوية,فاكهية,50 مل,برغموت، برتقال، لافندر، ياسمين سامباك، زهرة الأوركيد، زهر البرتقال التونسي، فانيلا، حبوب التونكا، نجيل الهند، عنبر,أو دو برفيوم,برغموت، برتقال، لافندر,لافندر، ياسمين سامباك، زهرة الأوركيد، زهر البرتقال التونسي,فانيلا، حبوب التونكا، نجيل الهند، عنبر,,,,,
جورجيو أرماني إمبريو أرماني سترونجر ويذ يو إنتنسلي,536,جورجيو ارماني,رجالي,عطور,جذابة,أروماتيك,100 مل,التوت الناضج ، ألورد ، المر الشيح ، الباتشولي,أو دو برفيوم,فلفل وردي، العرعر، ورق البنفسج,خزامى، ميرامية، توفي، قرفة,حبوب تونكا، جلد الغزال، كهرمان، فانيليا,ذهبي,2019,,,
روبرتو كافالي باراديسو,222,روبرتو كافالي,نسائي,عطور,جذابة,خشبية,50 مل,الحمضيات، اليوسفي، البارغموت، الياسمين، أشجار الصنوبر، أشجار السرو، الغار.,أو دو برفيوم,حمضيات، اليوسفي، البرغموت,ياسمين,شجرة السرو، صنوبر، إكليل الغار,,2015,عطور,,
فيري إمبورتانت نوتس مجموعة ديو الأفضل مبيعاَ,249,فيري إمبورتانت نوتس,رجالي/نسائي,مجموعات,,,,,,,,,,,,,
فرزاتشي كريستال نوار أو دو برفيوم - 90 مل,518,فرزاتشي,نسائي,عطور,عصرية,زهرية شرقية,90مل,زنجبيل، الحبهان، الفلفل، براعم البرتقال، الفاوانيا، الجاردينيا، جوز الهند، خشب الصندل، المسك، العنبر.,أو دو برفيوم,زنجبيل، الحبهان، الفلفل،,براعم البرتقال، الفاوانيا، الجاردينيا، جوز الهند,خشب الصندل، المسك، العنبر.,,2004,,,
مانسيرا روز فانيلا - 120 مل,495,مانسيرا,رجالي/نسائي,عطور,أنثوية,زهرية,120 مل,ليمون كالاباري، حلوى تركية، روز، خشب الأرز، فانيليا مكثفة، مسك أبيض,أو دو برفيوم,ليمون كالاباري,حلوى تركية، روز,خشب الأرز، فانيليا مكثفة، مسك أبيض,,,,,
جيفنشي لا انترديت انتنس - 80 مل,563,جفنشي,نسائي,عطور,عصرية,زهرية شرقية,80 مل,الفلفل الأسود، السمسم، زهور البرتقال، مسك الروم، الفانيليا، الباتشولي، نجيل الهند,أو دو برفيوم,الفلفل الأسود,السمسم، زهور البرتقال، مسك الروم,الفانيليا، الباتشولي، نجيل الهند,,2020,,,
ديور جريس ديور أو دو برفيوم,1299,ديور,رجالي/نسائي,عطور,حسية,زهرية,125 مل,أخشاب الصندل، العنبر، أخشاب الأرز، البرجموت، الباتشولي، طحلب البلوط، الورد,أو دو برفيوم,,,,,2017,,,
جيرلان لو إنستنت ماجيك أو دو برفيوم,459,جيرلان,نسائي,عطور,جذابة,زهرية شرقية,75 مل,,أو دو برفيوم,الليمون، البرجموت، اليانسون,القرنفل، الفريزيا، الورد، الميموزا، البنفسج,الأرز، المسك الأبيض، أخشاب الصندل، اللوز، الفانيليا، السوسن,,2007,,,
مجموعة فلورا - 5 قطع,856,مجموعات حصرية,نسائي,مجموعات,,,,,,,,,,,,,
مقام الرؤى أو دو برفيوم,199,مقام,رجالي/نسائي,عطور,جذابة,شرقية,120 مل,الكحول، عطر، ماء، هيدروكسي سيترونيلال، غيرانيول، ساليسيلات البنزيل، بولي إيثيلين جليكول ٤۰ زيت خروع مهدرج، سيترونيلول، ليمونين، سيترال، كحول بنزيلي.,أو دو برفيوم,زهرة الغرنقولي، جوزة الهند,نوتات خشبية,فانيلا,,2020,,,
كريد أفينتوس,1745,كريد,رجالي,عطور,متألقة,عود,100 مل,"ليمون، ليمون حلو، جريب فروت,توت وردي، بيرش، بتشول، ياسمين,مسك، إيفرينا خوخية، عنبر، فانيلا",أو دو برفيوم,ليمون حلو، أوراق الكشمش الاسود، تفاح، أناناس,توت وردي، بيرش، بتشول، ياسمين,مسك، إيفرينا خوخية، عنبر، فانيلا,,2011,عطور,,
