الاسم,rating,total_ratings,img,السعر النهائي,Brand,Gender,Product Type,Character,Fragrance Family,Size,Year of Launch,Concentration,Top Notes,Middle Notes,Base Notes,Category,Ingredients,Product Color,Preferences,Makeup Type,Search Key
Korloff Cuir Mythique EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760251870322_-_korloff_-_korloff_cuir_mythique_edp_100_ml_-_100_ml_-_fd.png,1116.0,Korloff,Unisex,Perfume,Classical,Leather,100 ml,2018,Eau de Parfum,"Mandarin, Pine, Juniper","Ginger, Galbanum, Iris",Leather,,,,,,
Calvin Klein Euphoria Women,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">500 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/c/a/calvin_klein_euphoria_eau_de_parfum_1.jpg,298.0,Calvin Klein,Women,Perfume,Extravagant,Fruity,50 ml,2005,Eau de Parfum,Pomegranate,"Lotus Blossom, Black Orchid","Amber, Wood",Perfume,"Pomegranate, Lotus Blossom, Black Orchid, Amber, Wood",,,,
Grasse Perfumes Oud The Palace EDP - 30 ml,"<h4 data-v-de649438="""">4.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/9/4/94616-grasse-perfume-oud-the-palace-30-ml.png,159.0,Grasse Perfumes,Unisex,Perfume,Classical,Leather,30 ml,,Eau de Parfum,"Rose Oil, Bulgarian Rose",Cinnamon,"Leather, Sandalwood",,,,,,
Marco Serussi Harmony,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760168632174_marco_serussi_harmoni_edt_100_ml_1.jpg,333.0,Marco Serussi,Men,Perfume,Charismatic,Woody Oriental,100 ml,,Eau de Toilette,Black Pepper- Cardamom- Cumin,Nutmeg- Neroli- Melon.,Patchouli- Vetiver.,,"Black Pepper, Cardamom, Cumin, Nutmeg, Neroli, Melon, Patchouli, Vetiver",,,,
Lorenzo Villoresi Uomo,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_lorenzo_villoresi_perfumes_uomo_for_unisex_eau_de_toilette_8028544100934.jpg,629.0,Lorenzo Villoresi Firenze,Men,Perfume,Extravagant,Aromatic,100 ml,1993,Eau de Toilette,"Bergamot, Petitgrain, Laurel, Lemon, Orange, Coriander, Lavender, Elemi resin","Neroli, Sage, Juniper, Clove, Pepper, Thyme","Oakmoss, Musk, Patchouli, Rosemary, Sandalwood, Vetiver, Cedarwood",,"Bergamot, Petitgrain, Laurel, Lemon, Orange, Coriander, Lavender, Elemi resin, Neroli, Sage, Juniper, Clove, Pepper, Thyme, Oakmoss, Musk, Patchouli, Rosemary, Sandalwood, Vetiver, Cedarwood","Blue,Silver",,,
Tory Burch Tory Burch,"<h4 data-v-de649438="""">4.7</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_tory_burch_perfumes_eau_de_parfum_for_women_eau_de_perfum_22548295700.jpg,553.0,Tory Burch,Men,Perfume,Romantic,Floral,100 ml,,Eau de Parfum,"Bergamot, Mandarin, and Lemon","Neroli, Pink Peppercorn, and Peony","Patchouli Heart, Vetiver Heart, and Cedar wood Oil'",,"Neroli,Grapefruit,Cassis,Bergamot,Peony,Tuberose,Jasmine Sambac,Vetiver, Sandalwood.","Gold,Pink",,,
Epock Genar EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6281000756102_-_epock_-_epock_genar_for_men_eau_de_parfum_50ml_-_50_ml_-_fd_1_.png,185.0,Epock,Men,Perfume,Charismatic,Oriental,50 ml,,Eau de Parfum,"Lemon, Ginger, Grapefruit","Sweet Pineapple, Cardamom, Cinnamon","Vetiver, Labdanum, Oakmoss",,,,,,
Khaltat Salang,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6291103883001-khaltat-blends-of-love-salang-edp-65-ml-1.jpg,575.0,Khaltat,Unisex,Perfume,Glamorous,Oriental,65 ml,,Eau de Parfum,The roses,The oud,Patchouli,,"Rose, Patchouli, Oud",,,,
Atelier Cologne Clementine California EDC,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3700591230035_-_atelier_cologne_-_atelier_cologne_clementine_california_cologne_absolue_pure_perfume_unisex_eau_de_cologne_100ml_-_100_ml_-_fd.png,890.0,Atelier Cologne,Unisex,Perfume,Dynamic,Citrus,100 ml,2016,Eau de Cologne,"Juniper Berry, Mandarin, Clementine","Pepper, Star Anise, Basil","Sandalwood, Vetiver, Cypress",,,,,,
Guerlain Patchouli Paris EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3346470148819_-_guerlain_-_guerlain_patchouli_paris_eau_de_parfum_100ml_-_100_ml_-_fd.png,2046.0,Guerlain,Unisex,Perfume,Natural,Woody,100 ml,2024,Eau de Parfum,Aldehydes,Iris,"Vanilla, Amber, Patchouli",,,,,,
